Sample_ID,Tube_ID,Sample_or_control,BGOOD_sample_code,Apiary_name,Apiary_ID,Hive_name,Hive_ID,Country,Latitude,Longitude,Season,Gut_part,Health,Number_of_queens,VLPs_per_ul,Extraction_plate,Extraction_plate_row,Extraction_plate_col,Average_Qubit,Mapped_reads,Bee_Pool,Date
PT_19414_sum_mid_d,1454,sample,AHUFASPJ,UC Apiary (Portugal) - B-GOOD,3818,Hive 8,19414,PT,41.1545749,-7.6942246,sum,mid,very_good,1,NA,2,C,X7,4.4,2150254,PT_19414_sum,2020-07-14
PT_19414_sum_rec_d,1470,sample,AHUFASPJ,UC Apiary (Portugal) - B-GOOD,3818,Hive 8,19414,PT,41.1545749,-7.6942246,sum,rec,very_good,1,65392.2204,2,E,X7,3.4,12519238,PT_19414_sum,2020-07-14
RO_17363_spr_ile_d,3037,sample,GUXSFCSD,USAMV Cluj Campus,3188,Hive 3a,17363,RO,46.7598,46.7598,spr,ile,bad,1,NA,4,B,X8,6.7,838907,RO_17363_spr,2020-05-15
RO_17363_spr_mid_d,3029,sample,GUXSFCSD,USAMV Cluj Campus,3188,Hive 3a,17363,RO,46.7598,46.7598,spr,mid,bad,1,NA,4,A,X8,5.8,868369,RO_17363_spr,2020-05-15
RO_17363_spr_rec_d,3045,sample,GUXSFCSD,USAMV Cluj Campus,3188,Hive 3a,17363,RO,46.7598,46.7598,spr,rec,bad,1,59401.31822,4,C,X8,8.2,14792719,RO_17363_spr,2020-05-15
RO_17363_sum_ile_d,3162,sample,HXKRCNAY,USAMV Cluj Campus,3188,Hive 3a,17363,RO,46.7598,46.7598,sum,ile,bad,1,NA,4,C,X10,3.8,621799,RO_17363_sum,2020-07-16
RO_17363_sum_mid_d,3154,sample,HXKRCNAY,USAMV Cluj Campus,3188,Hive 3a,17363,RO,46.7598,46.7598,sum,mid,bad,1,NA,4,B,X10,11,407628,RO_17363_sum,2020-07-16
RO_17363_sum_rec_d,3170,sample,HXKRCNAY,USAMV Cluj Campus,3188,Hive 3a,17363,RO,46.7598,46.7598,sum,rec,bad,1,103019.0961,4,D,X10,7.9,3776278,RO_17363_sum,2020-07-16
RO_17371_sum_ile_d,3087,sample,JJAMYPTX,USAMV Cluj Campus,3188,Hive 12a,17371,RO,46.7598,46.7598,sum,ile,good,1,NA,4,H,X8,6.3,256382,RO_17371_sum,2020-05-13
RO_17371_sum_mid_d,3079,sample,JJAMYPTX,USAMV Cluj Campus,3188,Hive 12a,17371,RO,46.7598,46.7598,sum,mid,good,1,NA,4,G,X8,5.4,158427,RO_17371_sum,2020-05-13
RO_17371_sum_rec_d,3095,sample,JJAMYPTX,USAMV Cluj Campus,3188,Hive 12a,17371,RO,46.7598,46.7598,sum,rec,good,1,133644.5043,4,A,X9,14.8,6575477,RO_17371_sum,2020-05-13
RO_17377_sum_ile_d,3187,sample,YNBKTRGM,USAMV Cluj Campus,3188,Stup 1a,17377,RO,46.7598,46.7598,sum,ile,good,1,NA,4,F,X10,6.4,2354967,RO_17377_sum,2020-07-16
RO_17377_sum_mid_d,3179,sample,YNBKTRGM,USAMV Cluj Campus,3188,Stup 1a,17377,RO,46.7598,46.7598,sum,mid,good,1,NA,4,E,X10,4.6,12676273,RO_17377_sum,2020-07-16
RO_17377_sum_rec_d,3195,sample,YNBKTRGM,USAMV Cluj Campus,3188,Stup 1a,17377,RO,46.7598,46.7598,sum,rec,good,1,111379.3738,4,G,X10,6.2,14775380,RO_17377_sum,2020-07-16
RO_17378_aut_ile_d,3312,sample,RRBYHJBU,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,aut,ile,bad,2,NA,5,C,X2,6.7,194685,RO_17378_aut,2020-10-12
RO_17378_aut_mid_d,3304,sample,RRBYHJBU,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,aut,mid,bad,2,NA,5,B,X2,9.4,205455,RO_17378_aut,2020-10-12
RO_17378_aut_rec_d,3320,sample,RRBYHJBU,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,aut,rec,bad,2,94597.84339,5,D,X2,10,19553621,RO_17378_aut,2020-10-12
RO_17378_spr_ile_d,2987,sample,NZHBNLLG,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,spr,ile,bad,2,NA,4,D,X7,8.3,673824,RO_17378_spr,2020-05-13
RO_17378_spr_mid_d,2979,sample,NZHBNLLG,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,spr,mid,bad,2,NA,4,C,X7,5.7,204549,RO_17378_spr,2020-05-13
RO_17378_spr_rec_d,2995,sample,NZHBNLLG,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,spr,rec,bad,2,39734.04696,4,E,X7,7.1,1897190,RO_17378_spr,2020-05-13
RO_17378_sum_ile_d,3137,sample,AHJTRZLZ,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,sum,ile,bad,2,NA,4,H,X9,4.3,817855,RO_17378_sum,2020-07-16
RO_17378_sum_mid_d,3129,sample,AHJTRZLZ,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,sum,mid,bad,2,NA,4,G,X9,4.9,2539301,RO_17378_sum,2020-07-16
RO_17378_sum_rec_d,3145,sample,AHJTRZLZ,USAMV Cluj Campus,3188,Stup 6a,17378,RO,46.7598,46.7598,sum,rec,bad,2,82788.28677,4,A,X10,5.1,8909238,RO_17378_sum,2020-07-16
RO_17380_sum_ile_d,3112,sample,JXTMBZPS,USAMV Cluj Campus,3188,Stup 28a,17380,RO,46.7598,46.7598,sum,ile,good,1,NA,4,D,X9,8.9,905220,RO_17380_sum,2020-07-16
RO_17380_sum_mid_d,3104,sample,JXTMBZPS,USAMV Cluj Campus,3188,Stup 28a,17380,RO,46.7598,46.7598,sum,mid,good,1,NA,4,B,X9,4.8,3160655,RO_17380_sum,2020-07-16
RO_17380_sum_rec_d,3120,sample,JXTMBZPS,USAMV Cluj Campus,3188,Stup 28a,17380,RO,46.7598,46.7598,sum,rec,good,1,94195.93653,4,E,X9,4,15615894,RO_17380_sum,2020-07-16
RO_17381_sum_ile_d,3062,sample,FASURUSH,USAMV Cluj Campus,3188,Stup 29a,17381,RO,46.7598,46.7598,sum,ile,good,1,NA,4,E,X8,3.7,431890,RO_17381_sum,2020-07-16
RO_17381_sum_mid_d,3054,sample,FASURUSH,USAMV Cluj Campus,3188,Stup 29a,17381,RO,46.7598,46.7598,sum,mid,good,1,NA,4,D,X8,9.3,16684570,RO_17381_sum,2020-07-16
RO_17381_sum_rec_d,3070,sample,FASURUSH,USAMV Cluj Campus,3188,Stup 29a,17381,RO,46.7598,46.7598,sum,rec,good,1,NA,4,F,X8,9,15829335,RO_17381_sum,2020-07-16
RO_17382_aut_ile_d,3262,sample,CYXUCRUN,USAMV Cluj Campus,3188,Stup 30a,17382,RO,46.7598,46.7598,aut,ile,good,1,NA,5,E,X1,4.3,240177,RO_17382_aut,2020-11-06
RO_17382_aut_mid_d,3254,sample,CYXUCRUN,USAMV Cluj Campus,3188,Stup 30a,17382,RO,46.7598,46.7598,aut,mid,good,1,NA,5,D,X1,8.6,90510,RO_17382_aut,2020-11-06
RO_17382_aut_rec_d,3270,sample,CYXUCRUN,USAMV Cluj Campus,3188,Stup 30a,17382,RO,46.7598,46.7598,aut,rec,good,1,NA,5,F,X1,4.1,12530402,RO_17382_aut,2020-11-06
RO_17382_sum_ile_d,3212,sample,BKKFJXTH,USAMV Cluj Campus,3188,Stup 30a,17382,RO,46.7598,46.7598,sum,ile,good,1,NA,4,A,X11,9.8,624953,RO_17382_sum,2020-07-16
RO_17382_sum_mid_d,3204,sample,BKKFJXTH,USAMV Cluj Campus,3188,Stup 30a,17382,RO,46.7598,46.7598,sum,mid,good,1,NA,4,H,X10,10.8,172878,RO_17382_sum,2020-07-16
RO_17382_sum_rec_d,3220,sample,BKKFJXTH,USAMV Cluj Campus,3188,Stup 30a,17382,RO,46.7598,46.7598,sum,rec,good,1,132107.4924,4,B,X11,8.5,11671353,RO_17382_sum,2020-07-16
RO_17383_spr_ile_d,2962,sample,SZPYTKGM,USAMV Cluj Campus,3188,Stup 36a,17383,RO,46.7598,46.7598,spr,ile,good,1,NA,4,A,X7,9.6,124011,RO_17383_spr,2020-05-13
RO_17383_spr_mid_d,2954,sample,SZPYTKGM,USAMV Cluj Campus,3188,Stup 36a,17383,RO,46.7598,46.7598,spr,mid,good,1,NA,4,H,X6,11.6,6584,RO_17383_spr,2020-05-13
RO_17383_spr_rec_d,2970,sample,SZPYTKGM,USAMV Cluj Campus,3188,Stup 36a,17383,RO,46.7598,46.7598,spr,rec,good,1,40531.6687,4,B,X7,11.8,145103,RO_17383_spr,2020-05-13
RO_26022_aut_ile_d,3337,sample,CKTSXSMR,USAMV Cluj Campus,3188,Hive 23,26022,RO,46.7598,46.7598,aut,ile,good,1,NA,5,F,X2,11.5,10373297,RO_26022_aut,2020-11-06
RO_26022_aut_mid_d,3329,sample,CKTSXSMR,USAMV Cluj Campus,3188,Hive 23,26022,RO,46.7598,46.7598,aut,mid,good,1,NA,5,E,X2,5.8,276262,RO_26022_aut,2020-11-06
RO_26022_aut_rec_d,3345,sample,CKTSXSMR,USAMV Cluj Campus,3188,Hive 23,26022,RO,46.7598,46.7598,aut,rec,good,1,230520.4642,5,G,X2,4.8,13205936,RO_26022_aut,2020-11-06
RO_26024_aut_ile_d,3237,sample,UAKMCLMN,USAMV Cluj Campus,3188,Hive 8,26024,RO,46.7598,46.7598,aut,ile,very_good,1,NA,5,B,X1,4.7,196335,RO_26024_aut,2020-11-06
RO_26024_aut_mid_d,3229,sample,UAKMCLMN,USAMV Cluj Campus,3188,Hive 8,26024,RO,46.7598,46.7598,aut,mid,very_good,1,NA,5,A,X1,9.8,75012,RO_26024_aut,2020-11-06
RO_26024_aut_rec_d,3245,sample,UAKMCLMN,USAMV Cluj Campus,3188,Hive 8,26024,RO,46.7598,46.7598,aut,rec,very_good,1,148165.7147,5,C,X1,8.3,10448863,RO_26024_aut,2020-11-06
UK_14498_aut_ile_d,1162,sample,AUSUXNUA,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,aut,ile,very_good,2,NA,2,D,X3,2.3,399204,UK_14498_aut,2020-09-30
UK_14498_aut_mid_d,1154,sample,AUSUXNUA,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,aut,mid,very_good,2,NA,2,C,X3,11.2,820870,UK_14498_aut,2020-09-30
UK_14498_aut_rec_d,1170,sample,AUSUXNUA,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,aut,rec,very_good,2,67874.69668,2,E,X3,5.8,1810775,UK_14498_aut,2020-09-30
UK_14498_spr_ile_d,762,sample,MCCTYNTN,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,spr,ile,very_good,2,NA,1,H,X8,8.4,401109,UK_14498_spr,2020-05-04
UK_14498_spr_mid_d,754,sample,MCCTYNTN,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,spr,mid,very_good,2,NA,1,G,X8,8.9,184154,UK_14498_spr,2020-05-04
UK_14498_spr_rec_d,770,sample,MCCTYNTN,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,spr,rec,very_good,2,48384.15065,1,A,X9,5.6,1043887,UK_14498_spr,2020-05-04
UK_14498_sum_ile_d,837,sample,MSBRYKBL,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,sum,ile,very_good,2,NA,1,C,X10,5.7,173776,UK_14498_sum,2020-07-09
UK_14498_sum_mid_d,829,sample,MSBRYKBL,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,sum,mid,very_good,2,NA,1,B,X10,11.7,303187,UK_14498_sum,2020-07-09
UK_14498_sum_rec_d,845,sample,MSBRYKBL,Holme Pierrepont,3060,HPP 1,14498,UK,52.94762169541472,52.94762169541472,sum,rec,very_good,2,NA,1,D,X10,12,656621,UK_14498_sum,2020-07-09
UK_14500_aut_ile_d,1137,sample,PBYFKBRU,Holme Pierrepont,3060,HPP 3,14500,UK,52.94762169541472,52.94762169541472,aut,ile,good,1,NA,2,A,X3,4.3,72118,UK_14500_aut,2020-09-30
UK_14500_aut_mid_d,1129,sample,PBYFKBRU,Holme Pierrepont,3060,HPP 3,14500,UK,52.94762169541472,52.94762169541472,aut,mid,good,1,NA,2,H,X2,15.4,271073,UK_14500_aut,2020-09-30
UK_14500_aut_rec_d,1145,sample,PBYFKBRU,Holme Pierrepont,3060,HPP 3,14500,UK,52.94762169541472,52.94762169541472,aut,rec,good,1,51667.30044,2,B,X3,13.8,10702953,UK_14500_aut,2020-09-30
UK_14500_sum_ile_d,987,sample,NHNUADBS,Holme Pierrepont,3060,HPP 3,14500,UK,52.94762169541472,52.94762169541472,sum,ile,good,1,NA,1,E,X12,9.4,781197,UK_14500_sum,2020-07-09
UK_14500_sum_mid_d,979,sample,NHNUADBS,Holme Pierrepont,3060,HPP 3,14500,UK,52.94762169541472,52.94762169541472,sum,mid,good,1,NA,1,D,X12,13.5,246244,UK_14500_sum,2020-07-09
UK_14500_sum_rec_d,995,sample,NHNUADBS,Holme Pierrepont,3060,HPP 3,14500,UK,52.94762169541472,52.94762169541472,sum,rec,good,1,142079.3195,1,F,X12,8,21601018,UK_14500_sum,2020-07-09
UK_14501_aut_ile_d,1012,sample,RKPDRHMF,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,aut,ile,very_good,1,NA,2,B,X1,5.4,220285,UK_14501_aut,2020-09-30
UK_14501_aut_mid_d,1004,sample,RKPDRHMF,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,aut,mid,very_good,1,NA,2,A,X1,22,110104,UK_14501_aut,2020-09-30
UK_14501_aut_rec_d,1020,sample,RKPDRHMF,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,aut,rec,very_good,1,68923.95073,2,C,X1,16.6,248195,UK_14501_aut,2020-09-30
UK_14501_spr_ile_d,737,sample,GMRLNFBN,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,spr,ile,very_good,1,NA,1,E,X8,6,350386,UK_14501_spr,2020-05-04
UK_14501_spr_mid_d,729,sample,GMRLNFBN,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,spr,mid,very_good,1,NA,1,D,X8,10.1,156100,UK_14501_spr,2020-05-04
UK_14501_spr_rec_d,745,sample,GMRLNFBN,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,spr,rec,very_good,1,261095.0249,1,F,X8,7.4,5606406,UK_14501_spr,2020-05-04
UK_14501_sum_ile_d,887,sample,ZXZGKBKK,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,sum,ile,very_good,1,NA,1,A,X11,4.5,162924,UK_14501_sum,2020-07-09
UK_14501_sum_mid_d,879,sample,ZXZGKBKK,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,sum,mid,very_good,1,NA,1,H,X10,8.4,184169,UK_14501_sum,2020-07-09
UK_14501_sum_rec_d,895,sample,ZXZGKBKK,Holme Pierrepont,3060,HPP 4,14501,UK,52.94762169541472,52.94762169541472,sum,rec,very_good,1,NA,1,B,X11,8.4,14635892,UK_14501_sum,2020-07-09
UK_14502_aut_ile_d,1062,sample,YJJPDSPL,Holme Pierrepont,3060,HPP 5A,14502,UK,52.94762169541472,52.94762169541472,aut,ile,very_good,1,NA,2,H,X1,6.7,522357,UK_14502_aut,2020-09-30
UK_14502_aut_mid_d,1054,sample,YJJPDSPL,Holme Pierrepont,3060,HPP 5A,14502,UK,52.94762169541472,52.94762169541472,aut,mid,very_good,1,NA,2,G,X1,5,78678,UK_14502_aut,2020-09-30
UK_14502_aut_rec_d,1070,sample,YJJPDSPL,Holme Pierrepont,3060,HPP 5A,14502,UK,52.94762169541472,52.94762169541472,aut,rec,very_good,1,294117.952,2,A,X2,9.9,16897445,UK_14502_aut,2020-09-30
UK_14502_sum_ile_d,937,sample,NAXTKLPA,Holme Pierrepont,3060,HPP 5A,14502,UK,52.94762169541472,52.94762169541472,sum,ile,very_good,1,NA,1,G,X11,5,547718,UK_14502_sum,2020-07-09
UK_14502_sum_mid_d,929,sample,NAXTKLPA,Holme Pierrepont,3060,HPP 5A,14502,UK,52.94762169541472,52.94762169541472,sum,mid,very_good,1,NA,1,F,X11,18.4,3978758,UK_14502_sum,2020-07-09
UK_14502_sum_rec_d,945,sample,NAXTKLPA,Holme Pierrepont,3060,HPP 5A,14502,UK,52.94762169541472,52.94762169541472,sum,rec,very_good,1,22508.1918,1,H,X11,8.4,6090689,UK_14502_sum,2020-07-09
UK_15140_aut_ile_d,1212,sample,URURUPKD,Holme Pierrepont,3060,HPP 7a,15140,UK,52.94762169541472,52.94762169541472,aut,ile,very_bad,1,NA,2,G,X3,3.2,205617,UK_15140_aut,2020-09-30
UK_15140_aut_mid_d,1204,sample,URURUPKD,Holme Pierrepont,3060,HPP 7a,15140,UK,52.94762169541472,52.94762169541472,aut,mid,very_bad,1,NA,2,F,X3,6.8,106104,UK_15140_aut,2020-09-30
UK_15140_aut_rec_d,1220,sample,URURUPKD,Holme Pierrepont,3060,HPP 7a,15140,UK,52.94762169541472,52.94762169541472,aut,rec,very_bad,1,108692.3995,2,H,X3,7.7,223828,UK_15140_aut,2020-09-30
UK_15140_sum_ile_d,862,sample,KJNAYRTN,Holme Pierrepont,3060,HPP 7a,15140,UK,52.94762169541472,52.94762169541472,sum,ile,very_bad,1,NA,1,F,X10,7.8,294518,UK_15140_sum,2020-07-09
UK_15140_sum_mid_d,854,sample,KJNAYRTN,Holme Pierrepont,3060,HPP 7a,15140,UK,52.94762169541472,52.94762169541472,sum,mid,very_bad,1,NA,1,E,X10,7.6,281335,UK_15140_sum,2020-07-09
UK_15140_sum_rec_d,870,sample,KJNAYRTN,Holme Pierrepont,3060,HPP 7a,15140,UK,52.94762169541472,52.94762169541472,sum,rec,very_bad,1,NA,1,G,X10,8,5400775,UK_15140_sum,2020-07-09
UK_15141_aut_ile_d,4462,sample,PSZPKJCX,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,aut,ile,bad,1,NA,7,D,X5,25,216796,UK_15141_aut,2020-09-30
UK_15141_aut_mid_d,4454,sample,PSZPKJCX,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,aut,mid,bad,1,NA,7,C,X5,26.3,65274,UK_15141_aut,2020-09-30
UK_15141_aut_rec_d,4470,sample,PSZPKJCX,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,aut,rec,bad,1,78040.63356,7,E,X5,9.2,349425,UK_15141_aut,2020-09-30
UK_15141_spr_ile_d,712,sample,JDKAHNXH,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,spr,ile,bad,1,NA,1,B,X8,6,239300,UK_15141_spr,2020-05-04
UK_15141_spr_mid_d,704,sample,JDKAHNXH,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,spr,mid,bad,1,NA,1,A,X8,7.6,166034,UK_15141_spr,2020-05-04
UK_15141_spr_rec_d,720,sample,JDKAHNXH,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,spr,rec,bad,1,63073.70741,1,C,X8,8.1,1249095,UK_15141_spr,2020-05-04
UK_15141_sum_ile_d,812,sample,GBAYKFPL,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,sum,ile,bad,1,NA,1,H,X9,5.1,414430,UK_15141_sum,2020-07-09
UK_15141_sum_mid_d,804,sample,GBAYKFPL,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,sum,mid,bad,1,NA,1,G,X9,8.5,129033,UK_15141_sum,2020-07-09
UK_15141_sum_rec_d,820,sample,GBAYKFPL,Holme Pierrepont,3060,HPP 8a,15141,UK,52.94762169541472,52.94762169541472,sum,rec,bad,1,307499.1316,1,A,X10,9.5,8638670,UK_15141_sum,2020-07-09
UK_23922_aut_ile_d,1087,sample,FHKCKTKH,Holme Pierrepont,3060,HPP 6B,23922,UK,52.94762169541472,52.94762169541472,aut,ile,good,2,NA,2,C,X2,10.2,643008,UK_23922_aut,2020-09-30
UK_23922_aut_mid_d,1079,sample,FHKCKTKH,Holme Pierrepont,3060,HPP 6B,23922,UK,52.94762169541472,52.94762169541472,aut,mid,good,2,NA,2,B,X2,11.6,247252,UK_23922_aut,2020-09-30
UK_23922_aut_rec_d,1095,sample,FHKCKTKH,Holme Pierrepont,3060,HPP 6B,23922,UK,52.94762169541472,52.94762169541472,aut,rec,good,2,200593.6823,2,D,X2,7.7,12667712,UK_23922_aut,2020-09-30
UK_23922_sum_ile_d,962,sample,SCKNCZRX,Holme Pierrepont,3060,HPP 6B,23922,UK,52.94762169541472,52.94762169541472,sum,ile,good,2,NA,1,B,X12,9.7,98496,UK_23922_sum,2020-07-09
UK_23922_sum_mid_d,954,sample,SCKNCZRX,Holme Pierrepont,3060,HPP 6B,23922,UK,52.94762169541472,52.94762169541472,sum,mid,good,2,NA,1,A,X12,12.7,214,UK_23922_sum,2020-07-09
UK_23922_sum_rec_d,970,sample,SCKNCZRX,Holme Pierrepont,3060,HPP 6B,23922,UK,52.94762169541472,52.94762169541472,sum,rec,good,2,116771.8221,1,C,X12,13,356250,UK_23922_sum,2020-07-09
UK_24337_aut_ile_d,1112,sample,ADBYNMMN,Holme Pierrepont,3060,HPP 2C,24337,UK,52.94762169541472,52.94762169541472,aut,ile,good,1,NA,2,F,X2,4,308111,UK_24337_aut,2020-09-30
UK_24337_aut_mid_d,1104,sample,ADBYNMMN,Holme Pierrepont,3060,HPP 2C,24337,UK,52.94762169541472,52.94762169541472,aut,mid,good,1,NA,2,E,X2,8.5,157051,UK_24337_aut,2020-09-30
UK_24337_aut_rec_d,1120,sample,ADBYNMMN,Holme Pierrepont,3060,HPP 2C,24337,UK,52.94762169541472,52.94762169541472,aut,rec,good,1,110154.7522,2,G,X2,7.9,1569974,UK_24337_aut,2020-09-30
UK_24337_sum_ile_d,912,sample,RNBXJFLJ,Holme Pierrepont,3060,HPP 2C,24337,UK,52.94762169541472,52.94762169541472,sum,ile,good,1,NA,1,D,X11,5,201881,UK_24337_sum,2020-07-09
UK_24337_sum_mid_d,904,sample,RNBXJFLJ,Holme Pierrepont,3060,HPP 2C,24337,UK,52.94762169541472,52.94762169541472,sum,mid,good,1,NA,1,C,X11,4.1,116219,UK_24337_sum,2020-07-09
UK_24337_sum_rec_d,920,sample,RNBXJFLJ,Holme Pierrepont,3060,HPP 2C,24337,UK,52.94762169541472,52.94762169541472,sum,rec,good,1,112390.59,1,E,X11,4.5,18492750,UK_24337_sum,2020-07-09
Blank_pool_01,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5.3,48272,NA,NA
Blank_pool_02,NA,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6.9,292547,NA,NA
Blank_pool_03,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,12.1,68175,NA,NA
Blank_pool_04,NA,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,72644,NA,NA
Blank_pool_05,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5.1,68650,NA,NA
Blank_pool_06,NA,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5.3,74017,NA,NA
Blank_pool_07,NA,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6,15963,NA,NA
Blank_pool_08,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4.7,8699,NA,NA
Blank_pool_09,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3.9,6954,NA,NA
Blank_pool_10,NA,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,10.8,22062,NA,NA
Blank_pool_11,NA,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3.6,8558,NA,NA
Blank_pool_12,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5.7,121896,NA,NA
Blank_pool_13,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5.3,24919,NA,NA
Blank_pool_14,NA,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4.3,19069,NA,NA
Blank_pool_15,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4.2,13416,NA,NA
Blank_pool_16,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,10.6,95102,NA,NA
Blank_pool_17,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,5.4,28984,NA,NA
Blank_pool_18,NA,sample_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6.6,128548,NA,NA
Blank_pool_19,NA,extraction_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,4.4,57613,NA,NA
Blank_pool_20,NA,WTA_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4735,NA,NA
Blank_pool_21,NA,WTA_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,13799,NA,NA
